num,image_url,suggestions
110,https://i.imgur.com/I7ajeYM.png,{'Dementor': 'Dementor'}
111,https://i.imgur.com/odImC82.png,{'Dementor': 'Dementor'}
112,https://i.imgur.com/7UmqNwS.png,"{'Dementor': 'Dementor', 'Patronus': 'Patronus'}"
113,https://i.imgur.com/Apxh3vg.png,"{'Dementor': 'Dementor', 'Patronus': 'Patronus'}"
114,https://i.imgur.com/KBBY3rB.png,{}
115,https://i.imgur.com/SSxsMzf.png,{'Dementor': 'Dementor'}
116,https://i.imgur.com/EN1E8cY.png,{'Auror': 'Auror'}
117,https://i.imgur.com/g7dNotk.png,{}
118,https://i.imgur.com/FCYB7P7.png,"{'Dementor': 'Dementor', 'Patronus': 'Patronus'}"
119,https://i.imgur.com/MTXQZFQ.png,"{'Auror': 'Auror', 'Dementor': 'Dementor', 'Patronus': 'Patronus'}"
120,https://i.imgur.com/GhNPnMe.png,{}
121,https://i.imgur.com/wFNdWPG.png,{}
122,https://i.imgur.com/OKdhO5m.png,{}
123,https://i.imgur.com/HCVJ0BY.png,{'Ravenclaw': 'Ravenclaw'}
124,https://i.imgur.com/mxLGVvQ.png,{}
125,https://i.imgur.com/eiCB5QT.png,{'Potions': 'Zaubertänke'}
126,https://i.imgur.com/DKX26kB.png,{'Dementor': 'Dementor'}
127,https://i.imgur.com/KTmMSZR.png,{}
128,https://i.imgur.com/HzpH3ga.png,{'Dementor': 'Dementor'}
129,https://i.imgur.com/oJF4PyI.png,{}
130,https://i.imgur.com/OV7MSsN.png,{}
131,https://i.imgur.com/NVAnWrB.png,{'Dementor': 'Dementor'}
132,https://i.imgur.com/HtgRMfi.png,{}
133,https://i.imgur.com/ADGCiPs.png,{}
134,https://i.imgur.com/n2ESrfo.png,{}
135,https://i.imgur.com/BC8BIej.png,{}
136,https://i.imgur.com/TNvlDuq.png,{}
137,https://i.imgur.com/g6DcBSi.png,{}
138,https://i.imgur.com/JaIzLo2.png,{}
139,https://i.imgur.com/HKE4htT.png,{}
140,https://i.imgur.com/Ungepc9.png,{}
141,https://i.imgur.com/Wap6XZi.png,{}
142,https://i.imgur.com/WfiUkDw.png,{}
143,https://i.imgur.com/3v8lNK2.png,{}
144,https://i.imgur.com/YKkFbsG.png,{}
145,https://i.imgur.com/U3f6t0J.png,{}
146,https://i.imgur.com/sfZfs4B.png,{'Dark Lord': 'Dunkler Lord'}
147,https://i.imgur.com/tzCdtPo.png,{}
148,https://i.imgur.com/TbJrN6s.png,{'Grindelwald': 'Grindelwald'}
149,https://i.imgur.com/8sg0Gpa.png,{'Grindelwald': 'Grindelwald'}
150,https://i.imgur.com/nwDuXOL.png,{}
151,https://i.imgur.com/3f9OUJ4.png,{}
152,https://i.imgur.com/SghmYeA.png,{}
153,https://i.imgur.com/eAAQ4Yc.png,{}
154,https://i.imgur.com/d0LjzJ9.png,{'Grindelwald': 'Grindelwald'}
155,https://i.imgur.com/yYJ0wwp.png,{}
156,https://i.imgur.com/5bzI6MO.png,{}
157,https://i.imgur.com/IqWI4SX.png,{}
158,https://i.imgur.com/QIbqKXA.png,{}
159,https://i.imgur.com/rkdMrzo.png,{}
160,https://i.imgur.com/qpxn1Sk.png,{'Dark Lord': 'Dunkler Lord'}
161,https://i.imgur.com/1jkpe2t.png,{}
162,https://i.imgur.com/UT67qY3.png,{}
163,https://i.imgur.com/O4rHib7.png,{}
164,https://i.imgur.com/aTqGScB.png,{}
165,https://i.imgur.com/wlPL0r9.png,{}
166,https://i.imgur.com/52zwfVg.png,{}
167,https://i.imgur.com/YbhrWNz.png,{}
168,https://i.imgur.com/9QenrBt.png,"{'The Dark Lord': 'Dunkle Lord, Der', 'Dark Lord': 'Dunkler Lord'}"
169,https://i.imgur.com/P7RgpLY.png,{}
170,https://i.imgur.com/TJQtTIt.png,{}
171,https://i.imgur.com/aRbwwCy.png,{}
172,https://i.imgur.com/cGp2oLe.png,{}
173,https://i.imgur.com/pVh9v1e.png,"{'The Dark Lord': 'Dunkle Lord, Der', 'Dark Lord': 'Dunkler Lord'}"
174,https://i.imgur.com/IIJFvtE.png,{}
175,https://i.imgur.com/x1LqSfA.png,{}
176,https://i.imgur.com/11fpdX7.png,{}
177,https://i.imgur.com/RvGrZap.png,{}
178,https://i.imgur.com/FHHBUqI.png,{}
179,https://i.imgur.com/ZWD34Za.png,{}
180,https://i.imgur.com/jncePfA.png,{}
181,https://i.imgur.com/O6QdpRu.png,{}
182,https://i.imgur.com/10fuxpG.png,{}
183,https://i.imgur.com/Np90KtC.png,{}
184,https://i.imgur.com/CmhxDTC.png,{}
185,https://i.imgur.com/DGhurJh.png,{}
186,https://i.imgur.com/JD6fOav.png,{}
187,https://i.imgur.com/rlQKWoI.png,"{'Gryffindor': 'Gryffindor', 'Hufflepuff': 'Hufflepuff', 'Slytherin': 'Slytherin'}"
188,https://i.imgur.com/nhftnhS.png,{}
189,https://i.imgur.com/Z1Ka6xV.png,{}
190,https://i.imgur.com/R4JYB2f.png,{}
191,https://i.imgur.com/lRwuGkJ.png,{}
192,https://i.imgur.com/7tPBXtr.png,{}
193,https://i.imgur.com/kkmaAKe.png,{}
194,https://i.imgur.com/6qQWK6y.png,{}
195,https://i.imgur.com/D2Gs1wu.png,{'Slytherin': 'Slytherin'}
196,https://i.imgur.com/iPRBIeR.png,{}
197,https://i.imgur.com/cFbGg3P.png,{}
198,https://i.imgur.com/CBeHmNg.png,{}
199,https://i.imgur.com/obyQ4RD.png,{}
200,https://i.imgur.com/3NtKCsL.png,{'Muggle': 'Muggel'}
201,https://i.imgur.com/T7ACo9S.png,{}
202,https://i.imgur.com/PBw8qoK.png,{}
203,https://i.imgur.com/y87JdQ6.png,{}
204,https://i.imgur.com/mVQNmcc.png,{}
205,https://i.imgur.com/2bEDLMC.png,{}
